"user_id","seasons","wins","losses","points","titles","best","win_pct","record","user_name"
"656711573536088064",1,16,1,2361.05,1,1,94.1,"16-1","LuckyHarm"
"1003484581221228544",3,29,20,8384.45,0,2,59.2,"29-20","SimonSmith"
"661648420720680960",1,9,7,2540.5,0,3,56.2,"9-7","CowboyKitten"
"862531349087641600",4,34,30,11263.29,0,1,53.1,"34-30","diogenesthecat"
"656717601447178240",4,35,31,10630,1,1,53,"35-31","SearingShadow"
"1051735509032169472",1,9,8,2095.8,0,3,52.9,"9-8","Downinthebend"
"656718870417080320",4,33,33,10710.21,0,1,50,"33-33","xPsyD"
"1221277068109561856",1,8,9,1961.71,0,7,47.1,"8-9","vougz"
"869330755921334272",3,22,26,7478.3,0,4,45.8,"22-26","Greebo775"
"870379702513287168",3,20,28,6961.24,1,4,41.7,"20-28","rezzu"
"870404136938721280",4,23,40,9901.3,1,5,36.5,"23-40","sparky1335"
"661295422756704256",1,5,10,2169.28,0,8,33.3,"5-10","Serotoniin"
